CAPAIAN INVESTASI PROYEK EFFIENSI ENERGI TAHUN 2026;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No;Nama  Instansi/Perusahaan;Alamat;Sektor / Jenis;Jenis Kegiatan;Deskripsi (Jenis Kegiatan Efisiensi Energi);Nilai Investasi (Rp);Nilai Investasi (USD) (1 USD= Rp.16.500);Penghematan Energi (GJ);Sumber Data;Keterangan;Latt;Long;KBLI 2020;Bidang Usaha KBLI 2020;Status (PMA/PMDN)
25;PT. PLN INDONESIA POWER - PLTU BANTEN 1 SURALAYA OMU;Suralaya, Pulomerak, Suralaya, Cilegon, Kota Cilegon, Banten 42439;Pembangkit Listrik;Optimasi Sistem;Pemasangan Sensor Pembacaan Exit Boiler Temperature (Si-PET);Rp711.510.000;43.122;728431,00;;Mei;;;;;
26;PT. PLN Nusantara Power - UBJOM Rembang;Jl. Raya Semarang - surabaya km 130, Kecamatan Sluke, Kabupaten Rembang, Jawa Tengah 59272;Pembangkit Listrik;Optimasi Sistem;Penambahan Coal Velocity Balancing Online;Rp4.500.000.000;272.727;1372,58;;Mei;;;;;
;;;;Modifikasi alat;Penggantian Blade LP Turbin stage row 5 dan 6 unit 10;Rp1.500.000.000;90.909;715236,00;;Mei;;;;;
27;PT. South Pasific Viscose - Purwakarta;Cicadas, Babakancikao, Purwakarta Regency, West Java 41151;Industri Kimia;Optimasi Sistem;Pengurangan Konsumsi Steam di Fiber Line 4;Rp247.500.000;15.000;212423,00;;Mei;;;;;
28;PT TIFICO FIBER INDONESIA Tbk;Jl. MH Thamrin kel. Panunggangan Kec. Pinang, Kota Tangerang, Banten 15143;Industri Tekstil/Kimia;Modifikasi alat;Improvement CA flowmeter, Air dryer, Install Control valve 10K to 6K;Rp2.029.000.000;122.970;47427,00;;Mei;;;;;
29;PT Pertamina EP Asset 4 Donggi Matindok Field;Jl. Trans Sulawesi, Ds. Nonong Batui, Kabupaten Banggai, Sulawesi Tengah 94762;Pembangkit Listrik;Lainnya;PELED (Penggantian Lampu TL ke Lampu LED);Rp134.730.000;8.165;28,38;;Mei;;;;;
;;;;Optimasi Sistem;Peningkatan Kinerja Energi Berbasis Demand Response Melalui Penerapan LOTION (Load Priority Selection);Rp100.000.000;6.061;134222,00;;Mei;;;;;
;;;;Setting Parameter operasi;AUTOTUN (Perubahan Metode Pengoperasian Hot Oil Fire Heater dengan Metode Automatic Tuning for Air Fuel Ratio (AFR) di CPP Matindok);Rp135.000.000;8.182;145594,00;;Mei;;;;;
;;;;Optimasi Sistem;REFASE HOFH (Re-Engineering mekanisme sistem pada fase Start Up);Rp150.200.000;9.103;17312,60;;Mei;;;;;
;;;;;;;0;;;;;;;;
;;;;;;;0;;;;;;;;
;;;;;;;0;;;;;;;;
;;;;;;;0;;;;;;;;
;;;;;;;0;;;;;;;;
;;;;;;;0;;;;;;;;
